ADVERTISER,BRAND_ROOT,Brand (Major),Brand (Minor),Brand (Leaf),PUBLISHER,DATE,CHANNEL,Top-Level Category,PLACEMENT,Spend (USD),IMPRESSIONS
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,nypost.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,1052.28,90285
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),nypost.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,634.88,54473
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),biblegateway.com,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,75.00,18292
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,zdnet.com (CBS Interactive),2025-01-01,Desktop Display,Consumer Packaged Goods,Other,358.73,104572
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,upi.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,18.14,1341
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),baltimoresun.com (Tribune Media),2025-01-01,Desktop Video,Consumer Packaged Goods,Other,4739.95,410524
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,screenrant.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,371.09,80768
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),sun-sentinel.com (Tribune Media),2025-01-01,Desktop Video,Consumer Packaged Goods,Other,4766.16,244385
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),doodle.com,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,2.89,986
Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,flyertalk.com,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,285.22,37470
