advertiser,brand_root,brand_major,brand_minor,brand_leaf,publisher,date,channel,top_level_category,placement,spend_usd,impressions
"Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.",Facebook,2025-08-01,Facebook,<uncategorized>,Feed,805.97,113868
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-08-01,Facebook,Consumer Packaged Goods,Marketplace,258.09,36463
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-08-01,Facebook,Consumer Packaged Goods,Reels,235990.0,33340642
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-08-01,Facebook,Consumer Packaged Goods,Stories,150285.86,21232375
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-08-01,Facebook,Consumer Packaged Goods,Feed,444172.89,62752776
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),YouTube,2025-08-01,YouTube,Consumer Packaged Goods,In-Stream,1665.16,151192
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Hulu,2025-08-01,OTT,Consumer Packaged Goods,In-Stream,948335.76,29372830
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),sparknotes.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,210.74,17228
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),screenrant.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,1397.27,304117
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),collider.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,259.43,17448
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-08-01,Instagram,Consumer Packaged Goods,Reels,424779.83,51661318
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-08-01,Instagram,Consumer Packaged Goods,Feed,135912.49,16529572
